"","region","perc_agr","SA_c","RU_c","RO_c","SG_c","CA_c","BMA_c","SA_o","RU_o","RO_o","SG_o","CA_o","BMA_o","perc_agr_025","SA_c_025","RU_c_025","RO_c_025","SG_c_025","CA_c_025","BMA_c_025","SA_o_025","RU_o_025","RO_o_025","SG_o_025","CA_o_025","BMA_o_025","perc_agr_975","SA_c_975","RU_c_975","RO_c_975","SG_c_975","CA_c_975","BMA_c_975","SA_o_975","RU_o_975","RO_o_975","SG_o_975","CA_o_975","BMA_o_975","perc_agr_05","SA_c_05","RU_c_05","RO_c_05","SG_c_05","CA_c_05","BMA_c_05","SA_o_05","RU_o_05","RO_o_05","SG_o_05","CA_o_05","BMA_o_05"
"1","swp",0.532240549828179,0.383942681453445,0.554978587226369,0.421080763816261,0.262233864658876,0.575124725610181,0.302197965725773,0.493520107174425,0.58153117018911,0.287523611757823,0.757339769633713,0.189609245419133,0.496281538272362,0.517096219931271,0.422896634615385,0.586078933189655,0.44790356292698,0.317708333333333,0.609376687365011,0.347222855839416,0.533389382264595,0.610108303249097,0.316297104779412,0.791837567595143,0.214784106309291,0.532822580645161,0.547766323024055,0.34370882740448,0.518615288414032,0.39130111419831,0.20245253164557,0.549659114747221,0.25236940882077,0.463514255734265,0.551035066400486,0.257516395296246,0.727081051478642,0.165527034940465,0.455250145433391,0.519587628865979,0.416328331862312,0.580787373004354,0.444848198677892,0.310810810810811,0.600172413793103,0.342878464818763,0.520723716703434,0.606295266804995,0.313964626214025,0.788693164709425,0.208453856749311,0.527317949631742
"2","wmic",0.789332715477294,0.119913649624682,0.313440524927114,0.293578435571814,0.0515760425137066,0.327998678751519,0.0579264260876144,0.0956784944472229,0.300835884557163,0.149744303038171,0.234291689825105,0.198561154691594,0.268081951669405,0.779355885078777,0.139395953757225,0.340987887655977,0.314674597560344,0.0643608326068004,0.355599285300367,0.0734148374548486,0.112361928072322,0.322480612238944,0.174477046585256,0.257469029098243,0.220276177481302,0.294850465219318,0.80008109360519,0.0964526627218936,0.290865384615385,0.27489152892562,0.0366185843676619,0.305421522921523,0.0405163648826183,0.0781502402172399,0.276793334282866,0.128063821397155,0.210866196138441,0.170122491963197,0.243412837162837,0.782669138090825,0.133580115264392,0.33594472557862,0.31010730204838,0.0625778469750889,0.352787370045186,0.071224240946226,0.111111111111111,0.320900128984706,0.16843989769821,0.254925679949399,0.218231631382316,0.289338057170543
"3","nth_cari",0.733449680046539,0.413183018628851,0.128053672595902,0.26617298343073,0.145063880177762,0.26044616160913,0,0.0681464930531699,0.261629482172078,0.252317688731043,0.394185650477822,0.365341874743604,0,0.722207678883072,0.437644812494637,0.14912311740156,0.288268419493199,0.167434078789284,0.282745211003889,0,0.0837386468952734,0.2888125,0.276745881949211,0.427232435645188,0.390064935064935,0,0.747309482257126,0.386494215445909,0.106038851351351,0.240915119363395,0.114864668878374,0.234272496371553,0,0.0518292321082408,0.228125843736741,0.230533753090679,0.362069313958418,0.338528956609726,0,0.724229203025015,0.43623781891867,0.146414327350821,0.284689792496332,0.164646154989503,0.279873360470375,0,0.0818306161923184,0.285071375414383,0.274707438016529,0.425981873111782,0.388211077844311,0
"4","eaf",0.733913639479095,0.171835146571339,0.461180654369979,0.147250111110979,0.102504263297738,0.3204299678408,0,0.13638041652764,0.0481096332137203,0.0989070323898419,0.367373019301293,0.139751916416426,0.724099017543829,0.719276901987663,0.198178478017188,0.483935170585569,0.167291666666667,0.127122121802446,0.353383641674781,0,0.162649515181541,0.0610374121763854,0.11802038433908,0.400763358778626,0.166873963515755,0.752760566639243,0.746401644962303,0.1431207250342,0.436794871794872,0.124979805408534,0.0779841713221602,0.28917441224713,0,0.113566917036531,0.0305899213243251,0.0786630036630036,0.335207383972368,0.108247422680412,0.694528304382913,0.724263193968471,0.196307753060419,0.479452734879596,0.164355231143552,0.125,0.345551610579397,0,0.158692168338908,0.0588351088466883,0.113005190952911,0.39766969111012,0.162169237300127,0.750046468401487
"5","hawaii",0.695920577617329,0.58003450602056,0.180630564869462,0.263683875133481,0,0.15192972252163,0.256048923298923,0.272373353826313,0.140987676884745,0.119421327064458,0,0.21147133081461,0.958987306873324,0.680460288808664,0.615480535279805,0.203147947187556,0.296990740740741,0,0.185548180396726,0.388125,0.310042749658003,0.168193681318681,0.14187725631769,0,0.245661350844278,0.973404255319149,0.71028880866426,0.541444354537533,0.153557233229888,0.23359135834864,0,0.121198262646909,0.111111111111111,0.235820118069221,0.121794507137282,0.0960560811580987,0,0.183735294825222,0.941370084090716,0.682265342960289,0.607913669064748,0.198628158844765,0.290993270453582,0,0.17948717948718,0.375,0.305830475257227,0.165523394604918,0.136387559808612,0,0.24227585129647,0.97284069658719
"6","wio",0.66638062283737,0.227421869310453,0.457678121452088,0.349484574313328,0.226418083673826,0.432249794344006,0.114012251650005,0.349811991082556,0.218341887158933,0.293525290263068,0.418099883562296,0.393017209101445,0.350972123885601,0.653287197231834,0.272131831455987,0.488164785834528,0.383738962472406,0.256830601092896,0.465124136295895,0.139366803095032,0.3895179526356,0.241823215018058,0.321354838709677,0.449294717887155,0.425892231387137,0.384934515791049,0.679948096885813,0.190640991112308,0.429680551172066,0.317482819850567,0.197279495990836,0.396486433556474,0.0886441383136094,0.310333642261353,0.189836929607358,0.261924542014385,0.386303911085188,0.359078134363828,0.317627277764098,0.655363321799308,0.264188429338998,0.484278215223097,0.381950212255445,0.255497268077191,0.460299718213645,0.136842105263158,0.385057471264368,0.240646900269542,0.318848371513168,0.447232645403377,0.418837824134434,0.38083646028768
"7","andm",0.486307237813885,0.400660119337909,0.672434638108669,0.648320104397684,0.326384836041649,0.398568186141122,0.143786478423362,0.486727768863795,0.431219039972742,0.446216097999745,0.737005847719908,0.344406165037637,0.597647667117982,0.470420974889217,0.435557866184448,0.703230643402399,0.674275911881546,0.388749016522423,0.443677259386702,0.174388727724824,0.528988020176545,0.476236560255718,0.484382661909223,0.76534206943499,0.380001633275261,0.638116835994194,0.504080502215657,0.361201374330305,0.642846025625577,0.625730994152047,0.270122165068974,0.361265032377428,0.111861137897782,0.455250145433391,0.383705821205821,0.413166291291291,0.707481498612396,0.313098606493598,0.562638792505205,0.472636632200886,0.431984243068945,0.700533154838022,0.667822041944995,0.373500595789752,0.433849557522124,0.172171206705288,0.523820970695971,0.46791883626746,0.482331139853264,0.76181146572104,0.374407582938389,0.625656931099133
"8","timor",0.646054263565891,0.445414892351052,0.335215638618207,0.410191740996838,0.157849255922982,0.557548306075544,0.110017195555366,0.327136890494274,0.235176279076939,0.367764712721818,0.570823508233092,0.39969788224044,0.269899970163148,0.631337209302326,0.489383281172307,0.360398734177215,0.448371189479976,0.193608414239482,0.594323872434356,0.133053097345133,0.361507682458387,0.262103571768999,0.400484006734007,0.610151515151515,0.435319399674188,0.294010666922929,0.659321705426357,0.404149214659686,0.307105443709423,0.385920765027322,0.126716681376876,0.511871468926554,0.0873590925203829,0.277923642302981,0.207007177033493,0.328218884120172,0.534828865174388,0.356932619163933,0.228548217767335,0.634031007751938,0.484016043693463,0.358816807509644,0.438038779402416,0.192676645742797,0.586391924711597,0.132370365207694,0.358490566037736,0.256748519679554,0.395459595959596,0.607727272727273,0.431992456486384,0.290821425235827
"9","cio",0.693801537386443,0.0790020223608888,0.484711557265576,0.365480055804793,0.0303722814112967,0.40872614993808,0.00519113816629679,0.197707500983021,0.327963736359387,0.0714239346732612,0.491092726504701,0.22985986992995,0.508675766924273,0.678546470999301,0.104561738076567,0.514466484268126,0.393588094012695,0.0458015267175572,0.443093388794817,0.00858569112879459,0.224598930481283,0.361131585164186,0.0908301158301159,0.525903361344538,0.262518098455598,0.538549416342412,0.706167016072677,0.0555405250924057,0.459974760628475,0.340485117674204,0.00786976744186041,0.373673869123879,0,0.166179089976791,0.293613945578231,0.0543478260869565,0.454086065573771,0.196467391304348,0.478841544391539,0.682634521313767,0.100687304636011,0.507384320950115,0.387610294117647,0.0444778613199666,0.434504856761935,0.00854700854700852,0.221139896373057,0.356333615978896,0.083076670621797,0.524610655737705,0.255416023037168,0.533711015787068
"10","south_asia",0.688723618090452,0.327463578783404,0.300750242519159,0.481587746669886,0.0338428645331835,0.391960589091408,0,0.413363005115302,0.292329508727294,0.227631012039889,0.286553170955399,0.321341550276539,0,0.670829145728643,0.367535702142128,0.329749170537492,0.527617119236456,0.0506509634258703,0.430807856381088,0,0.450186567164179,0.31660202325775,0.27093776106934,0.318436141960406,0.365455056179775,0,0.704045226130653,0.289455997537367,0.26569622012229,0.4408014571949,0.0194683544303798,0.355329949238579,0,0.374005417301507,0.268147482014389,0.191658336665334,0.249455394190871,0.277227463312369,0,0.671356783919598,0.363153885220924,0.327455386133984,0.515364992150706,0.0479041916167665,0.42203125,0,0.444473531122746,0.314627320245298,0.258408792650919,0.312301402106203,0.358915631469979,0
